Configuration Results:
Default AMAT: 1.116866822729605, Default Area: 40000.0
Sets: 16, Ways: 4, Block Size: 128, Hit Rate: 90.91%, AMAT: 1.36, Area: 40000.00, AMAT Diff: 22.11%, Area Diff: 0.00%, Total Diff: 22.11%
Sets: 16, Ways: 8, Block Size: 128, Hit Rate: 90.91%, AMAT: 1.36, Area: 80000.00, AMAT Diff: 22.11%, Area Diff: 100.00%, Total Diff: 122.11%
Sets: 32, Ways: 2, Block Size: 128, Hit Rate: 95.20%, AMAT: 1.19, Area: 40000.00, AMAT Diff: 6.72%, Area Diff: 0.00%, Total Diff: 6.72%
Sets: 32, Ways: 4, Block Size: 128, Hit Rate: 95.20%, AMAT: 1.19, Area: 80000.00, AMAT Diff: 6.72%, Area Diff: 100.00%, Total Diff: 106.72%
Sets: 32, Ways: 8, Block Size: 128, Hit Rate: 95.20%, AMAT: 1.19, Area: 160000.00, AMAT Diff: 6.72%, Area Diff: 300.00%, Total Diff: 306.72%
Sets: 64, Ways: 2, Block Size: 128, Hit Rate: 97.62%, AMAT: 1.10, Area: 80000.00, AMAT Diff: -1.95%, Area Diff: 100.00%, Total Diff: 98.05%
Sets: 64, Ways: 4, Block Size: 128, Hit Rate: 97.62%, AMAT: 1.10, Area: 160000.00, AMAT Diff: -1.95%, Area Diff: 300.00%, Total Diff: 298.05%
Sets: 64, Ways: 8, Block Size: 128, Hit Rate: 97.62%, AMAT: 1.10, Area: 320000.00, AMAT Diff: -1.95%, Area Diff: 700.00%, Total Diff: 698.05%
Sets: 128, Ways: 2, Block Size: 128, Hit Rate: 98.69%, AMAT: 1.05, Area: 160000.00, AMAT Diff: -5.78%, Area Diff: 300.00%, Total Diff: 294.22%
Sets: 128, Ways: 4, Block Size: 128, Hit Rate: 98.69%, AMAT: 1.05, Area: 320000.00, AMAT Diff: -5.78%, Area Diff: 700.00%, Total Diff: 694.22%
Sets: 128, Ways: 8, Block Size: 128, Hit Rate: 98.69%, AMAT: 1.05, Area: 640000.00, AMAT Diff: -5.78%, Area Diff: 1500.00%, Total Diff: 1494.22%
Sets: 256, Ways: 2, Block Size: 128, Hit Rate: 99.36%, AMAT: 1.03, Area: 320000.00, AMAT Diff: -8.17%, Area Diff: 700.00%, Total Diff: 691.83%
Sets: 256, Ways: 4, Block Size: 128, Hit Rate: 99.36%, AMAT: 1.03, Area: 640000.00, AMAT Diff: -8.17%, Area Diff: 1500.00%, Total Diff: 1491.83%
Sets: 256, Ways: 8, Block Size: 128, Hit Rate: 99.36%, AMAT: 1.03, Area: 1280000.00, AMAT Diff: -8.17%, Area Diff: 3100.00%, Total Diff: 3091.83%
Sets: 2, Ways: 2, Block Size: 256, Hit Rate: 88.72%, AMAT: 1.45, Area: 2500.00, AMAT Diff: 30.14%, Area Diff: -93.75%, Total Diff: -63.61%
Sets: 2, Ways: 4, Block Size: 256, Hit Rate: 88.72%, AMAT: 1.45, Area: 5000.00, AMAT Diff: 30.14%, Area Diff: -87.50%, Total Diff: -57.36%
Sets: 2, Ways: 8, Block Size: 256, Hit Rate: 88.72%, AMAT: 1.45, Area: 10000.00, AMAT Diff: 30.14%, Area Diff: -75.00%, Total Diff: -44.86%
Sets: 4, Ways: 2, Block Size: 256, Hit Rate: 92.99%, AMAT: 1.28, Area: 5000.00, AMAT Diff: 14.78%, Area Diff: -87.50%, Total Diff: -72.72%
Sets: 4, Ways: 4, Block Size: 256, Hit Rate: 92.99%, AMAT: 1.28, Area: 10000.00, AMAT Diff: 14.78%, Area Diff: -75.00%, Total Diff: -60.22%
